id,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant,created_at,updated_at
153,WC771,"CG SPRAYBOTH  B",WC809,"Painting CG SBY Sprayboth B8",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
154,WC771,"CG SPRAYBOTH  B",WC855,"Painting CG SBY Sprayboth B9",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
155,WC834,"CG SPRAYBOTH  C",WC835,"Painting CG SBY Sprayboth C1",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
156,WC834,"CG SPRAYBOTH  C",WC836,"Painting CG SBY Sprayboth C2",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
157,WC834,"CG SPRAYBOTH  C",WC837,"Painting CG SBY Sprayboth C3",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
158,WC834,"CG SPRAYBOTH  C",WC838,"Painting CG SBY Sprayboth C4",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
159,WC834,"CG SPRAYBOTH  C",WC839,"Painting CG SBY Sprayboth C5",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
160,WC834,"CG SPRAYBOTH  C",WC840,"Painting CG SBY Sprayboth C6",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
161,WC834,"CG SPRAYBOTH  C",WC841,"Painting CG SBY Sprayboth C7",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
162,WC834,"CG SPRAYBOTH  C",WC842,"Painting CG SBY Sprayboth C8",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
163,WC834,"CG SPRAYBOTH  C",WC856,"Painting CG SBY Sprayboth C9",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
164,WC843,"CG SPRAYBOTH  D",WC844,"Painting CG SBY Sprayboth D1",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
165,WC843,"CG SPRAYBOTH  D",WC845,"Painting CG SBY Sprayboth D2",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
166,WC843,"CG SPRAYBOTH  D",WC846,"Painting CG SBY Sprayboth D3",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
167,WC843,"CG SPRAYBOTH  D",WC847,"Painting METAL SBY Sprayboth D4",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
168,WC843,"CG SPRAYBOTH  D",WC848,"Painting METAL SBY Sprayboth D5",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
169,WC843,"CG SPRAYBOTH  D",WC849,"Painting METAL SBY Sprayboth D6",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
170,WC843,"CG SPRAYBOTH  D",WC850,"Painting METAL SBY Sprayboth D7",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
171,WC843,"CG SPRAYBOTH  D",WC851,"Painting METAL SBY Sprayboth D8",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
172,WC843,"CG SPRAYBOTH  D",WC853,"Painting CG SBY Sprayboth D9",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
173,WC760,"PACKING CASE GOODS GROUP 1",WC178,"CASE Goods Packing LINE 1",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
174,WC760,"PACKING CASE GOODS GROUP 1",WC179,"CASE Goods Packing LINE 2",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
175,WC775,"PACKING CASE GOODS GROUP 2",WC180,"CASE Goods Packing LINE 3",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
176,WC775,"PACKING CASE GOODS GROUP 2",WC518,"CASE Goods Packing LINE 4",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
177,WC761,"PACKING CASE GOODS GROUP 2",WC519,"CASE Goods Packing LINE 5",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
178,WC761,"PACKING CASE GOODS GROUP 2",WC520,"CASE Goods Packing LINE 6",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
179,WC762,"PACKING PALANG KUDA GROUP 3",WC522,"CASE Goods Packing LINE 8",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
180,WC762,"PACKING PALANG KUDA GROUP 3",WC523,"CASE Goods Packing LINE 9",2008,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
181,WC785,"WELDING MANUAL ( LASER )",WC801,"WELDING MANUAL ( LASER ) 1",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
182,WC785,"WELDING MANUAL ( LASER )",WC802,"WELDING MANUAL ( LASER ) 2",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
184,WC786,GRINDING,WC797,"GRINDING 1",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
185,WC786,GRINDING,WC798,"GRINDING 2",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
186,WC786,GRINDING,WC799,"GRINDING 3",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
187,WC786,GRINDING,WC800,"GRINDING 4",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
188,WC786,GRINDING,WC803,"GRINDING 5",2021,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
189,WC785,"WELDING MANUAL ( LASER )",WC801,"WELDING MANUAL ( LASER ) 1",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
190,WC785,"WELDING MANUAL ( LASER )",WC802,"WELDING MANUAL ( LASER ) 2",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
192,WC786,GRINDING,WC797,"GRINDING 1",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
193,WC786,GRINDING,WC798,"GRINDING 2",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
194,WC786,GRINDING,WC799,"GRINDING 3",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
195,WC786,GRINDING,WC800,"GRINDING 4",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
196,WC786,GRINDING,WC803,"GRINDING 5",2022,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
197,WC782,"PAINTING metal GENERAL",WC483,"PAINTING CHAIR A1",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
198,WC782,"PAINTING metal GENERAL",WC484,"PAINTING CHAIR A2",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
199,WC782,"PAINTING metal GENERAL",WC485,"PAINTING CHAIR A3",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
201,WC759,"PAINTING CHAIR GENERAL",WC486,"PAINTING CHAIR A4",2012,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
