NO,USER,SAP_USER,KODE LARAVEL,MRP,SUB DEVISI,DEVISI,PLANT
150,DEVELOPER,auto_email,2021,MF1,,SUB ASSY SURABAYA,2000
151,DEVELOPER,auto_email,2022,MF2,,ASSY SURABAYA,2000
152,DEVELOPER,auto_email,2027,RD5,DRAWING,RND SURABAYA,2000
153,DEVELOPER,auto_email,2026,RD1,PRODUCTION SAMPLE MAKER,RND SURABAYA,2000
154,DEVELOPER,auto_email,2026,RD2,PRODUCTION SAMPLE MAKER,RND SURABAYA,2000
155,DEVELOPER,auto_email,2026,RD3,PRODUCTION SAMPLE MAKER,RND SURABAYA,2000
156,DEVELOPER,auto_email,1201,WH1,HARDWARE TERBUNGKUS,WARE HOUSE,2000
157,DEVELOPER,auto_email,3018,DR3,MACHINING - ECHO,PLANT E,3000
158,DEVELOPER,auto_email,3019,G31,FINISHING - ECHO,PLANT E,3000
159,DEVELOPER,auto_email,3012,D21,MACHINING - DELTA,PLANT D,3000
160,DEVELOPER,auto_email,3013,D26,EDGE BANDING - DELTA,PLANT D,3000
161,DEVELOPER,auto_email,3014,D27,ASSY BODY - DELTA,PLANT D,3000
162,DEVELOPER,auto_email,3014,D22,ASSEMBLY - DELTA,PLANT D,3000
163,DEVELOPER,auto_email,3015,D23,PAINTING - DELTA,PLANT D,3000
164,DEVELOPER,auto_email,3015,D28,PAINTING - DELTA,PLANT D,3000
165,DEVELOPER,auto_email,3016,D24,PACKING - DELTA,PLANT D,3000
166,DEVELOPER,auto_email,3001,MW1,PEMBAHANAN CUTTING - CHARLY,PLANT C,3000
167,DEVELOPER,auto_email,3001,MW2,PEMBAHANAN CUTTING - CHARLY,PLANT C,3000
168,DEVELOPER,auto_email,3001,MW3,PEMBAHANAN CUTTING - CHARLY,PLANT C,3000
169,DEVELOPER,auto_email,3002,MF1,ASSY COMPONENT - CHARLY,PLANT C,3000
170,DEVELOPER,auto_email,3003,MF2,ASSY UNIT - CHARLY,PLANT C,3000
171,DEVELOPER,auto_email,3004,MF3,POWDER COATING - CHARLY,PLANT C,3000
172,DEVELOPER,auto_email,3010,MA4,PAINTING - BRAVO,PLANT B,3000
173,DEVELOPER,auto_email,3010,MA7,PAINTING - BRAVO,PLANT B,3000
174,DEVELOPER,auto_email,3022,MS1,SAMPLE - CHARLY,PLANT C,3000
175,DEVELOPER,auto_email,3022,MS3,SAMPLE - CHARLY,PLANT C,3000
176,DEVELOPER,auto_email,3022,MS4,SAMPLE - CHARLY,PLANT C,3000
177,DEVELOPER,auto_email,3009,MA1,MA CASTING - BRAVO,PLANT B,3000
178,DEVELOPER,auto_email,3009,MA2,MA MACHINING - BRAVO,PLANT B,3000
179,DEVELOPER,auto_email,3009,MA3,MA ASSEMBLY - BRAVO,PLANT B,3000
180,DEVELOPER,auto_email,3011,MA5,MA PACKING - BRAVO,PLANT B,3000
181,DEVELOPER,auto_email,3021,PG1,MATERIAL PREPARATION - ALPHA,PLANT A,3000
182,DEVELOPER,auto_email,3021,PG2,MACHINING - ALPHA,PLANT A,3000
183,DEVELOPER,auto_email,3021,PG3,ASSEMBLY - ALPHA,PLANT A,3000
